,c_name,c_type,definition,relation,sub_name,link
39,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor Share/Position Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129195
40,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor Sourcing,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129197
41,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor Establishment,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129199
42,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129201
43,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor Earnings Distribution Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129203
44,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor Communication,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129205
45,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Investor to Risk Association,https://bian.org/servicelandscape-12-0-0/object_6.html?object=129209
46,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",composed of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
47,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",is part of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
48,Investor Management,Capability,"Capabilities to manage events related to shareholders and investors e.g. corporate events, dividend payout... ",served by,Investor Relations,https://bian.org/servicelandscape-12-0-0/object_21.html?object=31259
49,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",composed of,Financial Position Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130084
50,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",composed of,Financial Account Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130176
51,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",composed of,Tax Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130577
52,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",composed of,Finance Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=131750
53,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",is part of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
54,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Company Billing and Payments,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29087
55,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Bank Portfolio Administration,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29125
56,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Position Keeping,https://bian.org/servicelandscape-12-0-0/object_20.html?object=30315
57,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Business Unit Management,https://bian.org/servicelandscape-12-0-0/object_21.html?object=30964
58,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Business Unit Financial Operations,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32055
59,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Travel and Expenses,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32630
60,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Financial Statements,https://bian.org/servicelandscape-12-0-0/object_20.html?object=33561
61,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Fixed Asset Register,https://bian.org/servicelandscape-12-0-0/object_21.html?object=35282
62,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Financial Control,https://bian.org/servicelandscape-12-0-0/object_21.html?object=35553
63,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Asset And Liability Management,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36577
64,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Corporate Treasury,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37090
65,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Position Management,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37194
66,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Business Unit Accounting,https://bian.org/servicelandscape-12-0-0/object_22.html?object=40840
67,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Corporate Treasury Analysis,https://bian.org/servicelandscape-12-0-0/object_22.html?object=41635
68,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Enterprise Tax Administration,https://bian.org/servicelandscape-12-0-0/object_20.html?object=41825
69,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Financial Accounting,https://bian.org/servicelandscape-12-0-0/object_20.html?object=42346
70,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Asset Securitization,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47465
71,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Bank Portfolio Analysis,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47735
72,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Account Reconciliation,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47768
73,Finance Management,Capability,"Ability to plan, direct, allocate, monitor, organize, control, and report on the monetary aspects and resources of the business.",served by,Business Unit Financial Analysis,https://bian.org/servicelandscape-12-0-0/object_23.html?object=48376
74,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Risk Event Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=131170
75,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
76,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Risk Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=213029
77,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Risk Control Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=213031
78,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Risk Assessment,https://bian.org/servicelandscape-12-0-0/object_6.html?object=213045
79,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Risk Definition,https://bian.org/servicelandscape-12-0-0/object_6.html?object=213063
80,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",composed of,Risk Governance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=213067
81,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",is part of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
82,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Continuity Planning,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29351
83,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Liquidity Risk Models,https://bian.org/servicelandscape-12-0-0/object_21.html?object=34224
84,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Account Recovery,https://bian.org/servicelandscape-12-0-0/object_21.html?object=35767
85,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Market Risk Models,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36018
86,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Business Risk Models,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36466
87,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Security Advisory,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36757
88,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Financial Compliance,https://bian.org/servicelandscape-12-0-0/object_21.html?object=38656
89,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Counterparty Risk,https://bian.org/servicelandscape-12-0-0/object_21.html?object=38665
90,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Gap Analysis,https://bian.org/servicelandscape-12-0-0/object_21.html?object=39139
91,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Production Risk Models,https://bian.org/servicelandscape-12-0-0/object_20.html?object=42574
92,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Credit Management,https://bian.org/servicelandscape-12-0-0/object_22.html?object=43774
93,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Underwriting,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44666
94,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Security Assurance,https://bian.org/servicelandscape-12-0-0/object_22.html?object=46014
95,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Credit Risk Models,https://bian.org/servicelandscape-12-0-0/object_22.html?object=46456
96,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Limit and Exposure Management,https://bian.org/servicelandscape-12-0-0/object_22.html?object=46631
97,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Operational Risk Models,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47895
98,Risk Management,Capability,"The ability to identify, articulate, assess, aggregate, monitor, communicate,  and control (accept, prevent, transfer) circumstances that may (have the potential to) cause loss, injury, harm or other unwanted (negative) affects to the organization, should they occur, in order to lessen the likelihood (probability) and/or to lessen the impact. ",served by,Economic Capital,https://bian.org/servicelandscape-12-0-0/object_23.html?object=48771
99,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",composed of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
100,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",composed of,Fraud Incident Detection,https://bian.org/servicelandscape-12-0-0/object_6.html?object=218473
101,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",composed of,Fraud Incident Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=218475
102,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",composed of,Fraud Claim Handling,https://bian.org/servicelandscape-12-0-0/object_6.html?object=218484
103,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",composed of,Fraud Incident Prevention Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=218494
104,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",is part of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
105,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",served by,Financial Message Analysis,https://bian.org/servicelandscape-12-0-0/object_21.html?object=30650
106,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",served by,Fraud Diagnosis,https://bian.org/servicelandscape-12-0-0/object_21.html?object=31990
107,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",served by,Fraud Evaluation,https://bian.org/servicelandscape-12-0-0/object_22.html?object=39639
108,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",served by,Fraud Model,https://bian.org/servicelandscape-12-0-0/object_22.html?object=41042
109,Fraud Incident Management,Capability,"Ability to identify, assess wrongful or criminal deception (intentional perversion of truth) intended to result in financial or personal gain ",served by,Fraud Resolution,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44725
110,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",composed of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
111,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",composed of,Business Entity Access Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=258727
112,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",composed of,Business Entity Performance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=61997
113,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",composed of,Business Entity Definition,https://bian.org/servicelandscape-12-0-0/object_6.html?object=62003
114,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",composed of,Business Entity Structuring,https://bian.org/servicelandscape-12-0-0/object_6.html?object=62005
115,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",composed of,Business Entity Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=62013
116,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",is part of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
117,Business Entity Management,Capability,"Ability to create, structure, and govern the structures and sub-structures that comprise the organization.  
This includes structuring of separate legal entities as well as departments, business units or any similar organizational structure. ",served by,Business Unit Direction,https://bian.org/servicelandscape-12-0-0/object_22.html?object=43285
118,Policy Management,Capability,"Ability to determine, formulate, establish, maintain, comply with, and administer principles, rules and guidelines for action of the organization. ",composed of,Enterprise Management and Controlling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147496
119,Policy Management,Capability,"Ability to determine, formulate, establish, maintain, comply with, and administer principles, rules and guidelines for action of the organization. ",composed of,Policy Establishment,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81315
120,Policy Management,Capability,"Ability to determine, formulate, establish, maintain, comply with, and administer principles, rules and guidelines for action of the organization. ",composed of,Policy Compliance Determination,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81317
121,Policy Management,Capability,"Ability to determine, formulate, establish, maintain, comply with, and administer principles, rules and guidelines for action of the organization. ",composed of,Policy Retirement,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81321
122,Policy Management,Capability,"Ability to determine, formulate, establish, maintain, comply with, and administer principles, rules and guidelines for action of the organization. ",composed of,External Policy Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81333
123,Policy Management,Capability,"Ability to determine, formulate, establish, maintain, comply with, and administer principles, rules and guidelines for action of the organization. ",composed of,Policy Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=81339
